Date,Agent Name,Call Type,Client Name ,Number,Problem Type,escalation ,Pod time/ ticket,Ticket,Ticket Status,Department,Outbound Type ,Call Source,Remarks
12/16/2024,Kshitiz Kamu Magar,IN,NIC-Asia-Laghubitta-Baddichaur-SM,9848138665,Wireless,,,64067,CLOSED,CORPORATE,,NGUCC Panel,
12/16/2024,Kshitiz Kamu Magar,IN,Jalpa-Laghubitta-Bitiya-Sanstha-Krishnapur-Kanchanpur-fttx,9810993020,Intranet / VPN,,,64068,CLOSED,Operation,,NGUCC Panel,
12/16/2024,Suraj Khaiju,IN,Jalpa-Pyuthan-Bhingri-FTTH,9866937146,Intranet / VPN,16-12-2024 08:41:54,,64088,CLOSED,Operation,Client Follow up,NGUCC Panel,
12/16/2024,Bipul Shrestha,IN,Global-Ime-Jogbuda-EXT-CounterFTTx,9806468191,Intranet / VPN,16-12-2024 09:30:17,,64111,CLOSED,L2 Enterprise,,,
12/16/2024,Kshitiz Kamu Magar,IN,Global-Ime-Jogbuda-EXT-CounterFTTx,9806468191,Intranet / VPN,,,64112,already opened,L2 Enterprise,Client Follow up,NGUCC Panel,
12/16/2024,Kshitiz Kamu Magar,IN,Zest-Saving-Credit-Cooperative-Maitidevi,9801017097,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,problem in fiber through putalisadak. wireless is working fine.
12/16/2024,Kshitiz Kamu Magar,OUT,B32-Premier-Securities-Putalisadak-SM,9849091056,Intranet / VPN,,,,Not Opened,,Client Follow up,NGUCC Panel,problem in fiber through putalisadak. Instructed the client to move to backup link.
12/16/2024,Rebika Shrestha,IN,Global-Ime-Jogbuda-EXT-CounterFTTx,9848830161,Intranet / VPN,16-12-2024 10:32:04,,64119,CLOSED,L2 Enterprise,,,
12/16/2024,Nikita Shrestha ,IN,SO-1702-Laligurash-Media-Network-(Barter)-Anamnagar,9815485156,Intranet / VPN,,,64121,CLOSED,L2 Enterprise,,,
12/16/2024,Nikita Shrestha ,IN,,66520702,,,,,,,,,
12/16/2024,Kshitiz Kamu Magar,IN,Aryatara-securities-Anamnagar-FTTH-PALPA,9857077640,Intranet / VPN,,,,Not Opened,,,,devices are online asked to coordinate with their HO.
12/16/2024,Ruksana Shrestha ,IN,B42-Sani-securities-FTTH-POKHARA,9846625035,Intranet / VPN,13-12-2024 11:40:20,,63892,CLOSED,Operation,,,
,,,,,No Internet ,,,,,,,,
12/16/2024,Suraj Khaiju,IN,B52-Sundhara-securities-Lamjung-FTTX,66520702,No Internet ,,,,Not Opened,CORPORATE,,,
12/16/2024,Suraj Khaiju,IN,B52-Sundhara-securities-Lamjung-FTTX,66520702,Intranet / VPN,16-12-2024 10:50:55,,64124,OPEN,L2 Enterprise,,,
12/16/2024,Rebika Shrestha,IN,Ace-Hardware-Pvt-LTD-Teku-FTTx,,No Internet ,,,,,,,,
12/16/2024,Kshitiz Kamu Magar,IN,SO-2709-Nepal-Red-Cross-Society-Bhrikutimandap,9813786664,No Internet ,16-12-2024 09:46:27,,64113,already opened,Operation,,NGUCC Panel,
12/16/2024,Suraj Khaiju,IN,S003852-Fishtail_Annapurna_Intranet,9801568350,Intranet / VPN,,,,,,,,
12/16/2024,Nikita Shrestha ,OUT,Global-Ime-Bank-Powerhouse-Lekhnath,9856071520,Intranet / VPN,,,,Not Opened,CORPORATE,,,
12/16/2024,Nikita Shrestha ,IN,marin-gaupalika,9802348365,,,,,Not Opened,,,,
12/16/2024,Rebika Shrestha,OUT,9851316878,,,,,,Not Opened,,,,
12/16/2024,Rebika Shrestha,OUT,9851316878,,Intranet / VPN,16-12-2024 11:50:37,,64066,already opened,Operation,Client Follow up,NGUCC Panel,
12/16/2024,Kshitiz Kamu Magar,IN,CUID-1801-School-&-College-Central-State-Soaltee-mode,9841521656,,,,,,,,,
12/16/2024,Rebika Shrestha,OUT,Global-IME-IRD-Ghartigaun-Rolpa,9866937279,Intranet / VPN,,,,Not Opened,,,NGUCC Panel,Call is not receivable
12/16/2024,Rebika Shrestha,OUT,Global-IME-IRD-Ghartigaun-Rolpa,9866937279,Intranet / VPN,,,,Not Opened,,,NGUCC Panel,Call is not receivable
12/16/2024,Kshitiz Kamu Magar,OUT,Global-Ime-Bank-Rukumkot-East-Rukum-FTTx,9847999997,Intranet / VPN,,,64096,already opened,CORPORATE,Client Follow up,NGUCC Panel,couldn't confirm the device.
12/16/2024,Nikita Shrestha ,IN,Laligurash-Media-Network-(Barter)-Anamnagar,9851013209,Intranet / VPN,,,,,,,,
12/16/2024,Rebika Shrestha,IN,Home User,9826722711,Intranet / VPN,,,,Not Opened,,,,
12/16/2024,Suraj Khaiju,IN,Global-IME-Bank-Purchoudi-FTTx,9848626603,Intranet / VPN,16-12-2024 13:10:03,,,OPEN,L2 Enterprise,,NGUCC Panel,
12/16/2024,Ruksana Shrestha ,IN,S001621-Soaltee-Hotel-Sky-Chef-Tilganga,9841414553,Intranet / VPN,16-12-2024 11:47:58,,,OPEN,L2 Enterprise,,,
12/16/2024,Bipul Shrestha,OUT,Prime-Commercial-Bank-Shivapur-Lumbini-Tilotama-FTTX,9847459249,Intranet / VPN,,,,already opened,CORPORATE,,NGUCC Panel,client requested to call us after sometimes.
12/16/2024,Nikita Shrestha ,IN,kantipur-cinema-OTT ,9851144780,Intranet / VPN,,,,Not Opened,CORPORATE,,NGUCC Panel,
12/16/2024,Sagar Bhattarai,IN,,9800914369,Intranet / VPN,,,,Not Opened,Trasnfered,,NGUCC Panel,
12/16/2024,Ruksana Shrestha ,OUT,COR-26071-RBB-Teku,,Intranet / VPN,16-12-2024 12:24:03,,64144,already opened,Operation,Client Follow up,NGUCC Panel,
12/16/2024,Nikita Shrestha ,OUT,Global-IME-Bank-Purchoudi-FTTx,9848626603,Intranet / VPN,,,,,,,,
12/16/2024,Suraj Khaiju,OUT,Global-IME-Bank-Purchoudi-FTTx,9848626603,Intranet / VPN,16-12-2024 13:10:03,,64149,CLOSED,CORPORATE,Client Follow up,NGUCC Panel,
12/16/2024,Suraj Khaiju,IN,Global-IME-Bank-Purchoudi-FTTx,9848626603,Intranet / VPN,16-12-2024 13:10:03,,64149,CLOSED,L2 Enterprise,,NGUCC Panel,
12/16/2024,Ruksana Shrestha ,OUT,Nepal-bank-Birendranagar,9847450399,Intranet / VPN,,,,Not Opened,,,,
12/16/2024,Ruksana Shrestha ,OUT,Nepal-bank-Birendranagar,9849836853,Intranet / VPN,,,,Not Opened,,,,
12/16/2024,Ruksana Shrestha ,OUT,Nic-Asia-Laghubitta-Sanstha-Hattisudhe-FTTx,9802269061,Intranet / VPN,13-12-2024 09:42:01,,63878,already opened,,,,
12/16/2024,Ruksana Shrestha ,OUT,Nic-Asia-Laghubitta-Sanstha-Hattisudhe-FTTx,9802269061,Intranet / VPN,13-12-2024 09:42:01,,63878,already opened,,,,
12/16/2024,Nikita Shrestha ,OUT,anmol tapol,9849873380,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/16/2024,Nikita Shrestha ,OUT,prime-bank-newplaza,9851355863,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,,
12/16/2024,Suraj Khaiju,IN,American-Life-Insurance-Co-Metlife-Surkhet-FTTX,83521588,Intranet / VPN,16-12-2024 12:58:05,,64147,CLOSED,Operation,,NGUCC Panel,
12/16/2024,Sagar Bhattarai,IN,,9848438629,Intranet / VPN,,,,Not Opened,,,NGUCC Panel,
12/16/2024,Ruksana Shrestha ,OUT,Nepal-bank-Birendranagar,9849836853,Intranet / VPN,,,,already opened,,,,
12/16/2024,Ruksana Shrestha ,OUT,Prime-Commercial-Bank-Chabahil,9851084112,Intranet / VPN,,,,Not Opened,,,,
12/16/2024,Rebika Shrestha,IN,American-Life-Insurance-Co-Metlife-Surkhet-FTTX,83521588,Intranet / VPN,16-12-2024 12:58:05,,64147,CLOSED,,,NGUCC Panel,
12/16/2024,Rebika Shrestha,OUT,CUID-1801-School-&-College-Central-State-Soaltee-mode,9841521656,Intranet / VPN,16-12-2024 08:19:16,,64066,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/16/2024,Nikita Shrestha ,OUT,SO-1702-Laligurash-Media-Network-(Barter)-Anamnagar,9815485156,Intranet / VPN,16-12-2024 10:34:40,,64121,CLOSED,CORPORATE,Client Follow up,NGUCC Panel,
12/16/2024,Ruksana Shrestha ,IN,P2P-Laxmi-Bank-Gola-SM,9862317136,Wireless,,,,Not Opened,,,,
12/16/2024,Nikita Shrestha ,IN,Jalpa-Laghubitta-kohalabi-FTTX,9856019059,Intranet / VPN,,,,already opened,Operation,,NGUCC Panel,
12/16/2024,Nikita Shrestha ,IN,American-Life-Insurance-Co-Metlife-Surkhet-FTTX,83521588,Intranet / VPN,,,,opened via VMDS,CORPORATE,Client Follow up,NGUCC Panel,
12/16/2024,Gaurab Sapkota,IN,P2P-Laxmi-Bank-Gola-SM,9862317136,Wireless,,,,Not Opened,,,,
12/16/2024,Rebika Shrestha,IN,Global-IME-Bank-Purchoudi-FTTx,9848626603,Intranet / VPN,16-12-2024 17:11:20,,64188,CLOSED,CORPORATE,Client Follow up,NGUCC Panel,
12/16/2024,Ruksana Shrestha ,OUT,P2P-Laxmi-Bank-Gola-SM,9862317136,Wireless,,,,Not Opened,,,,
12/16/2024,Nikita Shrestha ,IN,ADBL-Bara,9851317168,General Inquries ,,,,Not Opened,CORPORATE,,NGUCC Panel,
12/16/2024,Ruksana Shrestha ,IN,Naikap Village Resort,15916348,General Inquries ,,,,Not Opened,,,,
12/16/2024,Ruksana Shrestha ,OUT,Naikap Village Resort,15916348,General Inquries ,,,,Not Opened,,,,
12/16/2024,Nikita Shrestha ,IN,Shreejana-Dev-Center-Besisahar-Lamjung-FTTx,9856019011,Intranet / VPN,17-12-2024 08:22:54,,64220,CLOSED,CORPORATE,,NGUCC Panel,
12/17/2024,Kshitiz Kamu Magar,IN,American-Life-Insurance-Co-Metlife-Surkhet-FTTX,83521588,Intranet / VPN,17-12-2024 08:59:45,,64147,CLOSED,Operation,Client Follow up,NGUCC Panel,
12/17/2024,Ruksana Shrestha ,IN,American-Life-Insurance-Co-Metlife-Surkhet-FTTX,83521588,Intranet / VPN,,,64147,CLOSED,Operation,,,
12/17/2024,Yagesh KC,IN,adhana-Laghubitta-Bittiya-Sanstha-FTTX-vlan374-hetauda,9802846823,Slow Internet,16-12-2024 11:18:17,,64129,already opened,L2 Enterprise,,NGUCC Panel,
